DIRECTORY REACT FINAL PROJECT - COMPLETE SOURCE CODE
============================================================

Generated on: +05 16:09:09 2025 އޮގަސްޓް 27 ބުދަ
Project root: /home/mine/Documents/codingProjects/DirReactFinal

============================================================

PROJECT_STATUS.txt
==================

[2025-01-27 15:30] | project root | Cold start. Awaiting task. | todo
        change_id = response.data['id']
        
        # 2. Admin reviews and approves
        approve_url = reverse('api:pending-change-approve', args=[change_id])
        response = self.admin_client.post(approve_url)
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        
        # 3. Verify change was applied
        self.contact1.refresh_from_db()
        self.assertEqual(self.contact1.contact, '7777777')
        
        # 4. Verify change status updated
        pending_change = PendingChange.objects.get(id=change_id)
        self.assertEqual(pending_change.status, 'approved')

@pytest.mark.api
@pytest.mark.edge_case
class EdgeCaseAPITest(ComprehensiveAPITest):
    """Test cases for edge cases and boundary conditions"""
    
    def test_empty_search_results(self):
        """Test search with no results"""
        url = reverse('api:phonebook-list')
        response = self.basic_client.get(url, {'search': 'NonexistentUser'})
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(len(response.data), 0)
    
    def test_large_search_query(self):
        """Test search with very long query"""
        long_query = 'a' * 1000
        url = reverse('api:phonebook-list')
        response = self.basic_client.get(url, {'search': long_query})
        self.assertEqual(response.status_code, status.HTTP_200_OK)
    
    def test_special_characters_in_search(self):
        """Test search with special characters"""
        special_chars = '!@#$%^&*()_+-=[]{}|;:,.<>?'
        url = reverse('api:phonebook-list')
        response = self.basic_client.get(url, {'search': special_chars})
        self.assertEqual(response.status_code, status.HTTP_200_OK)
    
    def test_unicode_characters(self):
        """Test handling of unicode characters"""
        unicode_name = 'José María García'
        phonebook_url = reverse('api:phonebook-list')
        data = {
            'name': unicode_name,
            'contact': '7778888',
            'address': 'Unicode Test Address',
            'atoll': 'Male',
            'island': 'Male City',
            'status': 'active'
        }
        response = self.basic_client.post(phonebook_url, data, format='json')
        self.assertEqual(response.status_code, status.HTTP_201_CREATED)
        
        # Verify unicode was preserved
        entry = PhoneBookEntry.objects.get(name=unicode_name)
        self.assertEqual(entry.name, unicode_name)
    
    def test_boundary_values(self):
        """Test boundary values for numeric fields"""
        # Test very long names
        long_name = 'a' * 255  # Maximum length
        phonebook_url = reverse('api:phonebook-list')
        data = {
            'name': long_name,
            'contact': '7779999',
            'address': 'Boundary Test Address',
            'atoll': 'Male',
            'island': 'Male City',
            'status': 'active'
        }
        response = self.basic_client.post(phonebook_url, data, format='json')
        self.assertEqual(response.status_code, status.HTTP_201_CREATED)
        
        # Test empty string for optional fields
        data['name'] = 'Empty Field Test'
        data['address'] = ''
        response = self.basic_client.post(phonebook_url, data, format='json')
        self.assertEqual(response.status_code, status.HTTP_201_CREATED)

@pytest.mark.api
@pytest.mark.smoke
class SmokeTestAPITest(ComprehensiveAPITest):
    """Smoke tests for critical API functionality"""
    
    def test_critical_endpoints_accessible(self):
        """Test that all critical endpoints are accessible"""
        critical_endpoints = [
            reverse('api:phonebook-list'),
            reverse('api:family-group-list'),
            reverse('api:score-transaction-list'),
        ]
        
        for endpoint in critical_endpoints:
            response = self.basic_client.get(endpoint)
            self.assertIn(response.status_code, [status.HTTP_200_OK, status.HTTP_401_UNAUTHORIZED])
    
    def test_basic_crud_operations(self):
        """Test basic CRUD operations work"""
        # Create
        url = reverse('api:phonebook-list')
        data = {
            'name': 'Smoke Test User',
            'contact': '7770000',
            'address': 'Smoke Test Address',
            'atoll': 'Male',
            'island': 'Male City',
            'status': 'active'
        }
        response = self.basic_client.post(url, data, format='json')
        self.assertEqual(response.status_code, status.HTTP_201_CREATED)
        entry_id = response.data['id']
        
        # Read
        detail_url = reverse('api:phonebook-detail', args=[entry_id])
        response = self.basic_client.get(detail_url)
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(response.data['name'], 'Smoke Test User')
        
        # Update
        update_data = {'contact': '7771111'}
        response = self.basic_client.patch(detail_url, update_data, format='json')
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        
        # Verify update
        response = self.basic_client.get(detail_url)
        self.assertEqual(response.data['contact'], '7771111')
    
    def test_authentication_flow(self):
        """Test basic authentication flow"""
        # Test that unauthenticated requests fail
        url = reverse('api:phonebook-list')
        response = self.anonymous_client.get(url)
        self.assertEqual(response.status_code, status.HTTP_401_UNAUTHORIZED)
        
        # Test that authenticated requests succeed
        response = self.basic_client.get(url)
        self.assertEqual(response.status_code, status.HTTP_200_OK)


django_backend/dirReactFinal_api/test_api.py
============================================

# 2025-01-27: API tests for dirReactFinal migration project
# Comprehensive testing of all API endpoints

import json
from django.test import TestCase
from django.urls import reverse
from django.contrib.auth import get_user_model
from rest_framework.test import APITestCase, APIClient
from rest_framework import status
from rest_framework_simplejwt.tokens import RefreshToken

from dirReactFinal_core.models import User, UserPermission, EventLog
from dirReactFinal_directory.models import PhoneBookEntry, Image
from dirReactFinal_family.models import FamilyGroup, FamilyMember
from dirReactFinal_moderation.models import PendingChange, PhotoModeration
from dirReactFinal_scoring.models import ScoreTransaction, RewardRule

User = get_user_model()

class BaseTestCase(APITestCase):
    """Base test case with common setup"""
    
    def setUp(self):
        """Set up test data"""
        # Create test users
        self.admin_user = User.objects.create_user(
            username='admin',
            email='admin@example.com',
            password='adminpass123',
            user_type='admin',
            is_staff=True,
            is_superuser=True
        )
        
        self.basic_user = User.objects.create_user(
            username='basicuser',
            email='basic@example.com',
            password='basicpass123',
            user_type='basic'
        )
        
        self.premium_user = User.objects.create_user(
            username='premiumuser',
            email='premium@example.com',
            password='premiumpass123',
            user_type='premium'
        )
        
        # Create user permissions
        UserPermission.objects.create(
            user_type='basic',
            module='directory',
            can_read=True,
            can_write=True,
            can_delete=True,
            can_admin=False
        )
        
        UserPermission.objects.create(
            user_type='premium',
            module='directory',
            can_read=True,
            can_write=True,
            can_delete=True,
            can_admin=False
        )
        
        UserPermission.objects.create(
            user_type='admin',
            module='directory',
            can_read=True,
            can_write=True,
            can_delete=True,
            can_admin=True
        )
        
        # Create family management permissions
        UserPermission.objects.create(
            user_type='basic',
            module='family',
            can_read=True,
            can_write=True,
            can_delete=True,
            can_admin=False
        )
        
        UserPermission.objects.create(
            user_type='premium',
            module='family',
            can_read=True,
            can_write=True,
            can_delete=True,
            can_admin=False
        )
        
        UserPermission.objects.create(
            user_type='admin',
            module='family',
            can_read=True,
            can_write=True,
            can_delete=True,
            can_admin=True
        )
        
        # Create test phonebook entries
        self.contact1 = PhoneBookEntry.objects.create(
            name='John Doe',
            contact='7771234',
            address='123 Main Street',
            atoll='Male',
            island='Male City',
            status='active'
        )
        
        self.contact2 = PhoneBookEntry.objects.create(
            name='Jane Smith',
            contact='7775678',
            address='456 Oak Avenue',
            atoll='Addu',
            island='Hithadhoo',
            status='active'
        )
        
        # Create test family group
        self.family_group = FamilyGroup.objects.create(
            name='Doe Family',
            description='Extended family of John Doe',
            created_by=self.basic_user
        )
        
        # Create test pending change
        self.pending_change = PendingChange.objects.create(
            entry=self.contact1,
            change_type='edit',
            new_data={'name': 'John Smith'},
            requested_by=self.basic_user,
            status='pending'
        )
        
        # Set up API client
        self.client = APIClient()

class AuthenticationTestCase(BaseTestCase):
    """Test authentication endpoints"""
    
    def test_user_login_success(self):
        """Test successful user login"""
        url = reverse('auth-login')
        data = {
            'username': 'basicuser',
            'password': 'basicpass123'
        }
        
        response = self.client.post(url, data, format='json')
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertIn('access_token', response.data)
        self.assertIn('refresh_token', response.data)
        self.assertIn('user', response.data)
        self.assertEqual(response.data['user']['username'], 'basicuser')
    
    def test_user_login_invalid_credentials(self):
        """Test login with invalid credentials"""
        url = reverse('auth-login')
        data = {
            'username': 'basicuser',
            'password': 'wrongpassword'
        }
        
        response = self.client.post(url, data, format='json')
        
        # Accept either 400 or 401 as both are valid for invalid credentials
        self.assertIn(response.status_code, [status.HTTP_400_BAD_REQUEST, status.HTTP_401_UNAUTHORIZED])
    
    def test_user_registration_success(self):
        """Test successful user registration"""
        url = reverse('auth-register')
        data = {
            'username': 'newuser',
            'email': 'newuser@example.com',
            'password': 'newpass123',
            'password_confirm': 'newpass123',
            'user_type': 'basic'
        }
        
        response = self.client.post(url, data, format='json')
        
        self.assertEqual(response.status_code, status.HTTP_201_CREATED)
        self.assertIn('access_token', response.data)
        self.assertIn('refresh_token', response.data)
        self.assertIn('user', response.data)
        
        # Check if user was created
        user = User.objects.get(username='newuser')
        self.assertEqual(user.email, 'newuser@example.com')
        self.assertEqual(user.user_type, 'basic')
    
    def test_user_registration_password_mismatch(self):
        """Test registration with password mismatch"""
        url = reverse('auth-register')
        data = {
            'username': 'newuser',
            'email': 'newuser@example.com',
            'password': 'newpass123',
            'password_confirm': 'differentpass',
            'user_type': 'basic'
        }
        
        response = self.client.post(url, data, format='json')
        
        self.assertEqual(response.status_code, status.HTTP_400_BAD_REQUEST)
        # Password mismatch can be returned as either field-specific or non-field error
        has_password_error = 'password_confirm' in response.data or 'non_field_errors' in response.data
        self.assertTrue(has_password_error, f"Expected password mismatch error, got: {response.data}")

class PhoneBookEntryTestCase(BaseTestCase):
    """Test phonebook entry endpoints"""
    
    def setUp(self):
        super().setUp()
        # Get authentication token for basic user
        refresh = RefreshToken.for_user(self.basic_user)
        self.access_token = str(refresh.access_token)
        self.client.credentials(HTTP_AUTHORIZATION=f'Bearer {self.access_token}')
    
    def test_list_phonebook_entries(self):
        """Test listing phonebook entries"""
        url = reverse('phonebook-list')
        response = self.client.get(url)
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(len(response.data['results']), 2)
    
    def test_create_phonebook_entry(self):
        """Test creating a new phonebook entry"""
        url = reverse('phonebook-list')
        data = {
            'name': 'New Contact',
            'contact': '7779999',
            'address': '789 New Street',
            'atoll': 'Male',
            'island': 'Male City',
            'status': 'active'
        }
        
        response = self.client.post(url, data, format='json')
        
        self.assertEqual(response.status_code, status.HTTP_201_CREATED)
        self.assertEqual(PhoneBookEntry.objects.count(), 3)
        
        # Check if event log was created
        event_log = EventLog.objects.filter(
            user=self.basic_user,
            event_type='add_contact'
        ).first()
        self.assertIsNotNone(event_log)
    
    def test_get_phonebook_entry(self):
        """Test getting a single phonebook entry"""
        url = reverse('phonebook-detail', args=[self.contact1.id])
        response = self.client.get(url)
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(response.data['name'], 'John Doe')
        self.assertEqual(response.data['contact'], '7771234')
    
    def test_update_phonebook_entry(self):
        """Test updating a phonebook entry"""
        url = reverse('phonebook-detail', args=[self.contact1.id])
        data = {
            'name': 'John Smith',
            'contact': '7771234',
            'address': '123 Main Street',
            'atoll': 'Male',
            'island': 'Male City',
            'status': 'active'
        }
        
        response = self.client.put(url, data, format='json')
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.contact1.refresh_from_db()
        self.assertEqual(self.contact1.name, 'John Smith')
    
    def test_delete_phonebook_entry(self):
        """Test deleting a phonebook entry"""
        url = reverse('phonebook-detail', args=[self.contact1.id])
        response = self.client.delete(url)
        
        self.assertEqual(response.status_code, status.HTTP_204_NO_CONTENT)
        self.assertEqual(PhoneBookEntry.objects.count(), 1)
    
    def test_advanced_search(self):
        """Test advanced search functionality"""
        url = reverse('phonebook-advanced-search')
        data = {
            'query': 'John',
            'atoll': 'Male'
        }
        
        response = self.client.post(url, data, format='json')
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(len(response.data['results']), 1)
        self.assertEqual(response.data['results'][0]['name'], 'John Doe')
    
    def test_bulk_operation(self):
        """Test bulk operations"""
        url = reverse('phonebook-bulk-operation')
        data = {
            'operation': 'update_status',
            'entry_ids': [self.contact1.id, self.contact2.id],
            'update_data': {'status': 'inactive'}
        }
        
        response = self.client.post(url, data, format='json')
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.contact1.refresh_from_db()
        self.contact2.refresh_from_db()
        self.assertEqual(self.contact1.status, 'inactive')
        self.assertEqual(self.contact2.status, 'inactive')

class UserManagementTestCase(BaseTestCase):
    """Test user management endpoints"""
    
    def setUp(self):
        super().setUp()
        # Get authentication token for admin user
        refresh = RefreshToken.for_user(self.admin_user)
        self.access_token = str(refresh.access_token)
        self.client.credentials(HTTP_AUTHORIZATION=f'Bearer {self.access_token}')
    
    def test_list_users(self):
        """Test listing users"""
        url = reverse('user-list')
        response = self.client.get(url)
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(len(response.data['results']), 3)
    
    def test_get_user_profile(self):
        """Test getting user profile"""
        url = reverse('user-detail', args=[self.basic_user.id])
        response = self.client.get(url)
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(response.data['username'], 'basicuser')
        self.assertEqual(response.data['user_type'], 'basic')
    
    def test_update_user_score(self):
        """Test updating user score"""
        url = reverse('user-update-score', args=[self.basic_user.id])
        data = {
            'points': 25,
            'reason': 'Test score update'
        }
        
        response = self.client.post(url, data, format='json')
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.basic_user.refresh_from_db()
        self.assertEqual(self.basic_user.score, 125)  # 100 + 25
        
        # Check if event log was created
        event_log = EventLog.objects.filter(
            user=self.basic_user,
            event_type='score_change'
        ).first()
        self.assertIsNotNone(event_log)

class FamilyManagementTestCase(BaseTestCase):
    """Test family management endpoints"""
    
    def setUp(self):
        super().setUp()
        # Get authentication token for basic user
        refresh = RefreshToken.for_user(self.basic_user)
        self.access_token = str(refresh.access_token)
        self.client.credentials(HTTP_AUTHORIZATION=f'Bearer {self.access_token}')
    
    def test_list_family_groups(self):
        """Test listing family groups"""
        url = reverse('family-group-list')
        response = self.client.get(url)
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(len(response.data['results']), 1)
    
    def test_create_family_group(self):
        """Test creating a family group"""
        url = reverse('family-group-list')
        data = {
            'name': 'Smith Family',
            'description': 'Extended family of Jane Smith'
        }
        
        response = self.client.post(url, data, format='json')
        
        self.assertEqual(response.status_code, status.HTTP_201_CREATED)
        self.assertEqual(FamilyGroup.objects.count(), 2)
        
        # Check if created_by was set correctly
        family_group = FamilyGroup.objects.get(name='Smith Family')
        self.assertEqual(family_group.created_by, self.basic_user)
    
    def test_get_family_group(self):
        """Test getting a family group"""
        url = reverse('family-group-detail', args=[self.family_group.id])
        response = self.client.get(url)
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(response.data['name'], 'Doe Family')
        self.assertEqual(response.data['member_count'], 0)

class ModerationTestCase(BaseTestCase):
    """Test moderation endpoints"""
    
    def setUp(self):
        super().setUp()
        # Get authentication token for admin user
        refresh = RefreshToken.for_user(self.admin_user)
        self.access_token = str(refresh.access_token)
        self.client.credentials(HTTP_AUTHORIZATION=f'Bearer {self.access_token}')
    
    def test_list_pending_changes(self):
        """Test listing pending changes"""
        url = reverse('pending-change-list')
        response = self.client.get(url)
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(len(response.data['results']), 1)
    
    def test_approve_pending_change(self):
        """Test approving a pending change"""
        url = reverse('pending-change-approve', args=[self.pending_change.id])
        response = self.client.post(url)
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.pending_change.refresh_from_db()
        self.assertEqual(self.pending_change.status, 'approved')
        self.assertEqual(self.pending_change.reviewed_by, self.admin_user)
    
    def test_reject_pending_change(self):
        """Test rejecting a pending change"""
        url = reverse('pending-change-reject', args=[self.pending_change.id])
        response = self.client.post(url)
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.pending_change.refresh_from_db()
        self.assertEqual(self.pending_change.status, 'rejected')
        self.assertEqual(self.pending_change.reviewed_by, self.admin_user)

class AnalyticsTestCase(BaseTestCase):
    """Test analytics endpoints"""
    
    def setUp(self):
        super().setUp()
        # Get authentication token for admin user
        refresh = RefreshToken.for_user(self.admin_user)
        self.access_token = str(refresh.access_token)
        self.client.credentials(HTTP_AUTHORIZATION=f'Bearer {self.access_token}')
    
    def test_get_analytics(self):
        """Test getting analytics data"""
        url = reverse('analytics')
        response = self.client.get(url)
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertIn('overview', response.data)
        self.assertIn('users', response.data)
        self.assertIn('contacts_by_atoll', response.data)
        self.assertIn('recent_activity', response.data)
        
        # Check specific values
        self.assertEqual(response.data['overview']['total_users'], 3)
        self.assertEqual(response.data['overview']['total_contacts'], 2)
        self.assertEqual(response.data['overview']['total_families'], 1)
        self.assertEqual(response.data['overview']['pending_changes'], 1)

class HealthCheckTestCase(BaseTestCase):
    """Test health check endpoint"""
    
    def test_health_check(self):
        """Test health check endpoint"""
        url = reverse('health-check')
        response = self.client.get(url)
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(response.data['status'], 'healthy')
        self.assertIn('timestamp', response.data)
        self.assertEqual(response.data['database'], 'connected')
        self.assertEqual(response.data['version'], '1.0.0')

class PermissionTestCase(BaseTestCase):
    """Test permission system"""
    
    def test_basic_user_directory_permissions(self):
        """Test basic user permissions for directory operations"""
        # Login as basic user
        refresh = RefreshToken.for_user(self.basic_user)
        access_token = str(refresh.access_token)
        self.client.credentials(HTTP_AUTHORIZATION=f'Bearer {access_token}')
        
        # Should be able to read
        url = reverse('phonebook-list')
        response = self.client.get(url)
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        
        # Should be able to create
        data = {
            'name': 'Test Contact',
            'contact': '7770000',
            'address': 'Test Address',
            'atoll': 'Male',
            'island': 'Male City'
        }
        response = self.client.post(url, data, format='json')
        self.assertEqual(response.status_code, status.HTTP_201_CREATED)
        
        # Should be able to delete (basic users have delete permission)
        contact = PhoneBookEntry.objects.get(name='Test Contact')
        url = reverse('phonebook-detail', args=[contact.id])
        response = self.client.delete(url)
        self.assertEqual(response.status_code, status.HTTP_204_NO_CONTENT)
    
    def test_unauthorized_access(self):
        """Test unauthorized access to protected endpoints"""
        # No authentication
        self.client.credentials()
        
        url = reverse('phonebook-list')
        response = self.client.get(url)
        self.assertEqual(response.status_code, status.HTTP_401_UNAUTHORIZED)
        
        url = reverse('analytics')
        response = self.client.get(url)
        self.assertEqual(response.status_code, status.HTTP_401_UNAUTHORIZED)

class FilterTestCase(BaseTestCase):
    """Test filtering and search functionality"""
    
    def setUp(self):
        super().setUp()
        # Get authentication token for basic user
        refresh = RefreshToken.for_user(self.basic_user)
        self.access_token = str(refresh.access_token)
        self.client.credentials(HTTP_AUTHORIZATION=f'Bearer {self.access_token}')
    
    def test_search_filter(self):
        """Test search functionality"""
        url = reverse('phonebook-list')
        response = self.client.get(url, {'search': 'John'})
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(len(response.data['results']), 1)
        self.assertEqual(response.data['results'][0]['name'], 'John Doe')
    
    def test_location_filter(self):
        """Test location-based filtering"""
        url = reverse('phonebook-list')
        response = self.client.get(url, {'atoll': 'Male'})
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(len(response.data['results']), 1)
        self.assertEqual(response.data['results'][0]['atoll'], 'Male')
    
    def test_ordering(self):
        """Test ordering functionality"""
        url = reverse('phonebook-list')
        response = self.client.get(url, {'ordering': 'name'})
        
        self.assertEqual(response.status_code, status.HTTP_200_OK)
        self.assertEqual(response.data['results'][0]['name'], 'Jane Smith')
        self.assertEqual(response.data['results'][1]['name'], 'John Doe')

if __name__ == '__main__':
    # Run tests
    import django
    django.setup()
    
    # Run specific test cases
    test_cases = [
        AuthenticationTestCase,
        PhoneBookEntryTestCase,
        UserManagementTestCase,
        FamilyManagementTestCase,
        ModerationTestCase,
        AnalyticsTestCase,
        HealthCheckTestCase,
        PermissionTestCase,
        FilterTestCase
    ]
    
    for test_case in test_cases:
        print(f"\nRunning {test_case.__name__}...")
        import unittest
        suite = unittest.TestLoader().loadTestsFromTestCase(test_case)
        runner = unittest.TextTestRunner(verbosity=2)
        runner.run(suite)


django_backend/dirReactFinal_api/throttling.py
==============================================

# 2025-01-27: Custom throttling for dirReactFinal migration project
# Rate limiting for different API endpoints and user types

from rest_framework.throttling import UserRateThrottle, AnonRateThrottle, SimpleRateThrottle
from dirReactFinal_core.models import UserPermission

class BasicUserThrottle(UserRateThrottle):
    """Throttling for basic users"""
    rate = '100/hour'  # 100 requests per hour

class PremiumUserThrottle(UserRateThrottle):
    """Throttling for premium users"""
    rate = '500/hour'  # 500 requests per hour

class AdminUserThrottle(UserRateThrottle):
    """Throttling for admin users"""
    rate = '1000/hour'  # 1000 requests per hour

class AnonymousUserThrottle(AnonRateThrottle):
    """Throttling for anonymous users"""
    rate = '20/hour'  # 20 requests per hour

class SearchThrottle(UserRateThrottle):
    """Throttling for search operations"""
    rate = '50/hour'  # 50 searches per hour

class UploadThrottle(UserRateThrottle):
    """Throttling for file uploads"""
    rate = '10/hour'  # 10 uploads per hour

class AuthenticationThrottle(AnonRateThrottle):
    """Throttling for authentication attempts"""
    rate = '5/minute'  # 5 attempts per minute

class CustomUserThrottle(SimpleRateThrottle):
    """Custom throttling based on user type and permissions"""
    
    def get_cache_key(self, request, view):
        if request.user.is_authenticated:
            ident = request.user.pk
        else:
            ident = self.get_ident(request)
        
        return self.cache_format % {
            'scope': self.scope,
            'ident': ident
        }
    
    def get_rate(self, request):
        """Get rate limit based on user type and permissions"""
        if not request.user.is_authenticated:
            return '20/hour'  # Anonymous users
        
        user_type = request.user.user_type
        
        # Base rates by user type
        base_rates = {
            'basic': '100/hour',
            'premium': '500/hour',
            'moderator': '800/hour',
            'admin': '1000/hour'
        }
        
        base_rate = base_rates.get(user_type, '100/hour')
        
        # Check if user has custom rate limit permission
        try:
            user_perm = UserPermission.objects.get(
                user_type=user_type,
                module='api'
            )
            if user_perm.rate_limit:
                return user_perm.rate_limit
        except UserPermission.DoesNotExist:
            pass
        
        return base_rate

class ModuleSpecificThrottle(SimpleRateThrottle):
    """Throttling specific to different modules"""
    
    def __init__(self, module_name, default_rate='100/hour'):
        self.module_name = module_name
        self.default_rate = default_rate
        super().__init__()
    
    def get_cache_key(self, request, view):
        if request.user.is_authenticated:
            ident = request.user.pk
        else:
            ident = self.get_ident(request)
        
        return f"throttle_{self.module_name}_{ident}"
    
    def get_rate(self, request):
        """Get rate limit based on module and user permissions"""
        if not request.user.is_authenticated:
            return '10/hour'  # Anonymous users have very limited access
        
        user_type = request.user.user_type
        
        # Check module-specific permissions
        try:
            user_perm = UserPermission.objects.get(
                user_type=user_type,
                module=self.module_name
            )
            
            # If user has custom rate limit for this module
            if user_perm.rate_limit:
                return user_perm.rate_limit
            
            # Base rates by user type for this module
            module_rates = {
                'basic': '50/hour',
                'premium': '200/hour',
                'moderator': '300/hour',
                'admin': '500/hour'
            }
            
            return module_rates.get(user_type, self.default_rate)
            
        except UserPermission.DoesNotExist:
            # Default rates if no specific permission is set
            default_rates = {
                'basic': '30/hour',
                'premium': '100/hour',
                'moderator': '200/hour',
                'admin': '300/hour'
            }
            
            return default_rates.get(user_type, self.default_rate)

# Module-specific throttling classes
class DirectoryThrottle(ModuleSpecificThrottle):
    """Throttling for directory operations"""
    def __init__(self):
        super().__init__('directory', '100/hour')

class FamilyThrottle(ModuleSpecificThrottle):
    """Throttling for family operations"""
    def __init__(self):
        super().__init__('family', '50/hour')

class ModerationThrottle(ModuleSpecificThrottle):
    """Throttling for moderation operations"""
    def __init__(self):
        super().__init__('moderation', '200/hour')

class UserManagementThrottle(ModuleSpecificThrottle):
    """Throttling for user management operations"""
    def __init__(self):
        super().__init__('users', '50/hour')

class AnalyticsThrottle(ModuleSpecificThrottle):
    """Throttling for analytics operations"""
    def __init__(self):
        super().__init__('analytics', '30/hour')

# Throttling configuration for different views
THROTTLE_CLASSES = {
    'default': {
        'throttle_classes': [CustomUserThrottle],
        'throttle_scope': 'default'
    },
    'search': {
        'throttle_classes': [SearchThrottle],
        'throttle_scope': 'search'
    },
    'upload': {
        'throttle_classes': [UploadThrottle],
        'throttle_scope': 'upload'
    },
    'auth': {
        'throttle_classes': [AuthenticationThrottle],
        'throttle_scope': 'auth'
    },
    'directory': {
        'throttle_classes': [DirectoryThrottle],
        'throttle_scope': 'directory'
    },
    'family': {
        'throttle_classes': [FamilyThrottle],
        'throttle_scope': 'family'
    },
    'moderation': {
        'throttle_classes': [ModerationThrottle],
        'throttle_scope': 'moderation'
    },
    'users': {
        'throttle_classes': [UserManagementThrottle],
        'throttle_scope': 'users'
    },
    'analytics': {
        'throttle_classes': [AnalyticsThrottle],
        'throttle_scope': 'analytics'
    }
}


django_backend/dirReactFinal_api/views.py
=========================================

# 2025-01-27: API views for dirReactFinal migration project
# REST API views for all major functionality

from rest_framework import viewsets, status, permissions, filters
from rest_framework.decorators import action
from rest_framework.response import Response
from rest_framework.views import APIView
from rest_framework.permissions import IsAuthenticated, IsAdminUser
from rest_framework_simplejwt.tokens import RefreshToken
from rest_framework_simplejwt.views import TokenObtainPairView
from django_filters.rest_framework import DjangoFilterBackend
from django.db.models import Q, Count, Avg
from django.shortcuts import get_object_or_404
from django.utils import timezone
from django.http import JsonResponse
from .filters import PhoneBookEntryFilter, UserFilter, FamilyGroupFilter, PendingChangeFilter
from .permissions import (
    CanManageDirectory, CanManageUsers, CanManageFamily, 
    CanModerate, CanViewAnalytics, IsOwnerOrAdmin
)
import json

# Import models
from dirReactFinal_core.models import User, UserPermission, EventLog
from dirReactFinal_directory.models import PhoneBookEntry, Image
from dirReactFinal_family.models import FamilyGroup, FamilyMember
from dirReactFinal_moderation.models import PendingChange, PhotoModeration
from dirReactFinal_scoring.models import ScoreTransaction, RewardRule

# Import serializers
from .serializers import (
    UserLoginSerializer, UserRegistrationSerializer, UserSerializer,
    PhoneBookEntrySerializer, PhoneBookEntryCreateSerializer, ImageSerializer,
    FamilyGroupSerializer, FamilyMemberSerializer,
    PendingChangeSerializer, PhotoModerationSerializer,
    ScoreTransactionSerializer, RewardRuleSerializer,
    EventLogSerializer, SearchSerializer, BulkOperationSerializer
)

# Authentication Views
class UserLoginView(APIView):
    """User login endpoint"""
    permission_classes = [permissions.AllowAny]
    
    def post(self, request):
        serializer = UserLoginSerializer(data=request.data)
        if serializer.is_valid():
            user = serializer.validated_data['user']
            refresh = RefreshToken.for_user(user)
            
            # Log login event
            EventLog.objects.create(
                user=user,
                event_type='login',
                description=f'User {user.username} logged in',
                ip_address=request.META.get('REMOTE_ADDR'),
                user_agent=request.META.get('HTTP_USER_AGENT', '')
            )
            
            return Response({
                'access_token': str(refresh.access_token),
                'refresh_token': str(refresh),
                'user': UserSerializer(user).data
            })
        return Response(serializer.errors, status=status.HTTP_400_BAD_REQUEST)

class UserRegistrationView(APIView):
    """User registration endpoint"""
    permission_classes = [permissions.AllowAny]
    
    def post(self, request):
        serializer = UserRegistrationSerializer(data=request.data)
        if serializer.is_valid():
            user = serializer.save()
            refresh = RefreshToken.for_user(user)
            
            # Log registration event
            EventLog.objects.create(
                user=user,
                event_type='login',
                description=f'New user {user.username} registered',
                ip_address=request.META.get('REMOTE_ADDR'),
                user_agent=request.META.get('HTTP_USER_AGENT', '')
            )
            
            return Response({
                'access_token': str(refresh.access_token),
                'refresh_token': str(refresh),
                'user': UserSerializer(user).data
            }, status=status.HTTP_201_CREATED)
        return Response(serializer.errors, status=status.HTTP_400_BAD_REQUEST)

class UserLogoutView(APIView):
    """User logout endpoint"""
    permission_classes = [IsAuthenticated]
    
    def post(self, request):
        try:
            refresh_token = request.data.get('refresh_token')
            if refresh_token:
                token = RefreshToken(refresh_token)
                token.blacklist()
            
            # Log logout event
            EventLog.objects.create(
                user=request.user,
